hour_beginning,pedestrians,to_manhattan,to_brooklyn,weather_summary,temperature,precipitation,events
2017-10-03 15:00:00,1686,901,785,clear-day,68.0,0.0,
2017-10-03 16:00:00,1572,824,748,clear-day,67.0,0.0,
2017-10-03 17:00:00,1695,996,699,clear-day,66.0,0.0,
2017-10-03 18:00:00,1478,893,585,clear-day,64.0,0.0,
2017-10-03 19:00:00,613,240,373,clear-night,61.0,0.0,
2017-10-03 20:00:00,341,160,181,clear-night,59.0,0.0,
2017-10-03 21:00:00,196,102,94,clear-night,58.0,0.0,
2017-10-03 22:00:00,134,65,69,clear-night,56.0,0.0,
2017-10-03 23:00:00,70,34,36,clear-night,55.0,0.0,
2017-10-04 00:00:00,28,14,14,clear-night,55.0,0.0,
2017-10-04 01:00:00,16,11,5,clear-night,53.0,0.0,
2017-10-04 02:00:00,11,7,4,clear-night,53.0,0.0,
2017-10-04 03:00:00,12,5,7,clear-night,52.0,0.0,
2017-10-04 04:00:00,11,6,5,clear-night,51.0,0.0,
2017-10-04 05:00:00,16,9,7,clear-night,51.0,0.0,
2017-10-04 06:00:00,106,68,38,clear-night,51.0,0.0,
2017-10-04 07:00:00,291,125,166,clear-night,50.0,0.0,
2017-10-04 08:00:00,412,159,253,clear-day,52.0,0.0,
2017-10-04 09:00:00,571,299,272,clear-day,57.0,0.0,
2017-10-04 10:00:00,1017,621,396,clear-day,62.0,0.0,
2017-10-04 11:00:00,1530,830,700,clear-day,65.0,0.0,
2017-10-04 12:00:00,1709,899,810,clear-day,68.0,0.0,
2017-10-04 13:00:00,1611,811,800,clear-day,71.0,0.0,
2017-10-04 14:00:00,1608,794,814,clear-day,73.0,0.0,
2017-10-04 15:00:00,1524,874,650,clear-day,74.0,0.0,
2017-10-04 16:00:00,1733,964,769,clear-day,74.0,0.0,
2017-10-04 17:00:00,1907,1135,772,clear-day,74.0,0.0,
2017-10-04 18:00:00,1739,1081,658,clear-day,72.0,0.0,
2017-10-04 19:00:00,737,278,459,clear-night,70.0,0.0,
2017-10-04 20:00:00,395,150,245,clear-night,69.0,0.0,
2017-10-04 21:00:00,264,135,129,clear-night,68.0,0.0,
2017-10-04 22:00:00,181,85,96,clear-night,68.0,0.0001,
2017-10-04 23:00:00,104,57,47,partly-cloudy-night,67.0,0.0001,
2017-10-05 00:00:00,41,15,26,clear-night,65.0,0.0,
2017-10-05 01:00:00,21,10,11,clear-night,64.0,0.0,
2017-10-05 02:00:00,3,3,0,partly-cloudy-night,64.0,0.0,
2017-10-05 03:00:00,3,0,3,partly-cloudy-night,64.0,0.0,
2017-10-05 04:00:00,2,1,1,partly-cloudy-night,64.0,0.0,
2017-10-05 05:00:00,19,12,7,partly-cloudy-night,63.0,0.0,
2017-10-05 06:00:00,101,54,47,partly-cloudy-night,63.0,0.0,
2017-10-05 07:00:00,307,133,174,partly-cloudy-night,63.0,0.0,
2017-10-05 08:00:00,338,126,212,partly-cloudy-day,63.0,0.0,
2017-10-05 09:00:00,687,392,295,clear-day,65.0,0.0,
2017-10-05 10:00:00,1081,640,441,clear-day,69.0,0.0009,
2017-10-05 11:00:00,1644,923,721,clear-day,73.0,0.0019,
2017-10-05 12:00:00,1705,817,888,rain,77.0,0.0272,
2017-10-05 13:00:00,1726,850,876,clear-day,79.0,0.0024,
2017-10-05 14:00:00,1812,908,904,partly-cloudy-day,80.0,0.0021,
2017-10-05 15:00:00,1829,983,846,partly-cloudy-day,81.0,0.0012,
2017-10-05 16:00:00,1835,910,925,clear-day,81.0,0.0,
2017-10-05 17:00:00,1956,1129,827,clear-day,80.0,0.0,
2017-10-05 18:00:00,1382,787,595,partly-cloudy-day,78.0,0.0,
2017-10-05 19:00:00,635,250,385,clear-night,77.0,0.0,
2017-10-05 20:00:00,393,180,213,partly-cloudy-night,76.0,0.0,
2017-10-05 21:00:00,287,125,162,clear-night,75.0,0.0,
2017-10-05 22:00:00,115,54,61,partly-cloudy-night,74.0,0.0007,
2017-10-05 23:00:00,58,16,42,partly-cloudy-night,71.0,0.001,
2017-10-06 00:00:00,50,21,29,partly-cloudy-night,70.0,0.0011,
2017-10-06 01:00:00,22,11,11,partly-cloudy-night,69.0,0.0017,
2017-10-06 02:00:00,8,3,5,partly-cloudy-night,69.0,0.0021,
2017-10-06 03:00:00,15,8,7,clear-night,68.0,0.0012,
2017-10-06 04:00:00,7,3,4,clear-night,67.0,0.0002,
2017-10-06 05:00:00,16,11,5,partly-cloudy-night,67.0,0.0,
2017-10-06 06:00:00,126,74,52,clear-night,66.0,0.0,
2017-10-06 07:00:00,279,120,159,partly-cloudy-night,66.0,0.0,
2017-10-06 08:00:00,493,242,251,clear-day,66.0,0.0,
2017-10-06 09:00:00,660,386,274,clear-day,68.0,0.0,
2017-10-06 10:00:00,1244,686,558,clear-day,70.0,0.0,
2017-10-06 11:00:00,1593,893,700,clear-day,74.0,0.0,
2017-10-06 12:00:00,1941,1049,892,clear-day,76.0,0.0,
2017-10-06 13:00:00,1862,906,956,clear-day,78.0,0.0,
2017-10-06 14:00:00,1989,941,1048,clear-day,80.0,0.0,
2017-10-06 15:00:00,2140,1136,1004,clear-day,80.0,0.0,
2017-10-06 16:00:00,2083,1122,961,clear-day,78.0,0.0,
2017-10-06 17:00:00,2124,1188,936,clear-day,77.0,0.0,
2017-10-06 18:00:00,1470,834,636,clear-day,74.0,0.0,
2017-10-06 19:00:00,759,275,484,clear-night,71.0,0.0,
2017-10-06 20:00:00,471,184,287,clear-night,70.0,0.0,
2017-10-06 21:00:00,364,152,212,clear-night,69.0,0.0,
2017-10-06 22:00:00,238,100,138,clear-night,69.0,0.0,
2017-10-06 23:00:00,135,69,66,clear-night,69.0,0.0,
2017-10-07 00:00:00,88,52,36,clear-night,69.0,0.0,
2017-10-07 01:00:00,64,32,32,clear-night,68.0,0.0,
2017-10-07 02:00:00,29,17,12,clear-night,68.0,0.0,
2017-10-07 03:00:00,10,5,5,clear-night,66.0,0.0,
2017-10-07 04:00:00,9,6,3,partly-cloudy-night,66.0,0.0,
2017-10-07 05:00:00,21,13,8,partly-cloudy-night,65.0,0.0,
2017-10-07 06:00:00,84,55,29,partly-cloudy-night,65.0,0.0,
2017-10-07 07:00:00,244,109,135,partly-cloudy-night,64.0,0.0,
2017-10-07 08:00:00,378,225,153,partly-cloudy-day,65.0,0.0,
2017-10-07 09:00:00,989,655,334,partly-cloudy-day,68.0,0.0,
2017-10-07 10:00:00,1737,1037,700,clear-day,70.0,0.0,
2017-10-07 11:00:00,2602,1510,1092,clear-day,74.0,0.0,
2017-10-07 12:00:00,2983,1591,1392,clear-day,77.0,0.0,
2017-10-07 13:00:00,3191,1691,1500,clear-day,78.0,0.0,
2017-10-07 14:00:00,3251,1765,1486,clear-day,79.0,0.0,
2017-10-07 15:00:00,3633,1834,1799,clear-day,78.0,0.0,
2017-10-07 16:00:00,3388,1644,1744,clear-day,77.0,0.0,
2017-10-07 17:00:00,3373,1796,1577,clear-day,76.0,0.0,
2017-10-07 18:00:00,2742,1325,1417,clear-day,75.0,0.0,
2017-10-07 19:00:00,1132,373,759,clear-night,73.0,0.0,
2017-10-07 20:00:00,665,213,452,clear-night,72.0,0.0,
2017-10-07 21:00:00,373,150,223,clear-night,71.0,0.0,
2017-10-07 22:00:00,356,145,211,clear-night,71.0,0.0,
2017-10-07 23:00:00,268,119,149,partly-cloudy-night,71.0,0.0,
2017-10-08 00:00:00,145,75,70,partly-cloudy-night,71.0,0.0,
2017-10-08 01:00:00,57,38,19,clear-night,71.0,0.0,
2017-10-08 02:00:00,46,25,21,partly-cloudy-night,72.0,0.0,
2017-10-08 03:00:00,11,6,5,partly-cloudy-night,72.0,0.0,
2017-10-08 04:00:00,26,19,7,partly-cloudy-night,72.0,0.0,
2017-10-08 05:00:00,24,15,9,partly-cloudy-night,72.0,0.0,
2017-10-08 06:00:00,41,24,17,partly-cloudy-night,72.0,0.0004,
2017-10-08 07:00:00,160,90,70,partly-cloudy-night,72.0,0.0014,
2017-10-08 08:00:00,216,86,130,partly-cloudy-day,72.0,0.0016,
2017-10-08 09:00:00,164,91,73,partly-cloudy-day,72.0,0.0013,
2017-10-08 10:00:00,479,247,232,partly-cloudy-day,72.0,0.001,
2017-10-08 11:00:00,882,335,547,partly-cloudy-day,72.0,0.0009,
2017-10-08 12:00:00,1504,762,742,partly-cloudy-day,73.0,0.0008,
2017-10-08 13:00:00,1923,1027,896,partly-cloudy-day,74.0,0.0007,
2017-10-08 14:00:00,2599,1280,1319,partly-cloudy-day,75.0,0.0,
2017-10-08 15:00:00,2606,1376,1230,partly-cloudy-day,76.0,0.0,
2017-10-08 16:00:00,2531,1224,1307,partly-cloudy-day,76.0,0.0,
2017-10-08 17:00:00,2485,1241,1244,clear-day,76.0,0.0,
2017-10-08 18:00:00,1745,858,887,partly-cloudy-day,76.0,0.0,
2017-10-08 19:00:00,783,233,550,clear-night,75.0,0.0,
2017-10-08 20:00:00,589,224,365,partly-cloudy-night,75.0,0.0,
2017-10-08 21:00:00,453,171,282,clear-night,74.0,0.0,
2017-10-08 22:00:00,311,129,182,clear-night,74.0,0.0008,
2017-10-08 23:00:00,213,93,120,clear-night,73.0,0.0014,
2017-10-09 00:00:00,112,38,74,clear-night,73.0,0.0014,Columbus Day (regional holiday)
2017-10-09 01:00:00,41,15,26,partly-cloudy-night,73.0,0.001,Columbus Day (regional holiday)
2017-10-09 02:00:00,22,17,5,partly-cloudy-night,72.0,0.0008,Columbus Day (regional holiday)
2017-10-09 03:00:00,7,2,5,clear-night,72.0,0.0007,Columbus Day (regional holiday)
2017-10-09 04:00:00,6,3,3,partly-cloudy-night,72.0,0.0008,Columbus Day (regional holiday)
2017-10-09 05:00:00,9,5,4,partly-cloudy-night,72.0,0.0009,Columbus Day (regional holiday)
2017-10-09 06:00:00,58,45,13,partly-cloudy-night,71.0,0.0006,Columbus Day (regional holiday)
2017-10-09 07:00:00,169,81,88,partly-cloudy-night,71.0,0.0001,Columbus Day (regional holiday)
2017-10-09 08:00:00,296,130,166,partly-cloudy-day,71.0,0.0,Columbus Day (regional holiday)
2017-10-09 09:00:00,477,254,223,partly-cloudy-day,72.0,0.0,Columbus Day (regional holiday)
2017-10-09 10:00:00,888,446,442,partly-cloudy-day,72.0,0.0001,Columbus Day (regional holiday)
2017-10-09 11:00:00,825,375,450,partly-cloudy-day,72.0,0.0003,Columbus Day (regional holiday)
2017-10-09 12:00:00,732,300,432,partly-cloudy-day,73.0,0.0017,Columbus Day (regional holiday)
2017-10-09 13:00:00,422,192,230,rain,73.0,0.0058,Columbus Day (regional holiday)
2017-10-09 14:00:00,654,339,315,rain,72.0,0.0056,Columbus Day (regional holiday)
2017-10-09 15:00:00,787,414,373,partly-cloudy-day,72.0,0.0044,Columbus Day (regional holiday)
2017-10-09 16:00:00,881,480,401,partly-cloudy-day,73.0,0.0016,Columbus Day (regional holiday)
2017-10-09 17:00:00,878,490,388,partly-cloudy-day,74.0,0.0004,Columbus Day (regional holiday)
2017-10-09 18:00:00,722,348,374,partly-cloudy-day,74.0,0.0003,Columbus Day (regional holiday)
2017-10-09 19:00:00,368,175,193,partly-cloudy-night,74.0,0.0004,Columbus Day (regional holiday)
2017-10-09 20:00:00,250,125,125,partly-cloudy-night,74.0,0.0005,Columbus Day (regional holiday)
2017-10-09 21:00:00,184,91,93,partly-cloudy-night,74.0,0.0005,Columbus Day (regional holiday)
2017-10-09 22:00:00,117,42,75,partly-cloudy-night,74.0,0.0005,Columbus Day (regional holiday)
2017-10-09 23:00:00,80,42,38,partly-cloudy-night,75.0,0.0007,Columbus Day (regional holiday)
2017-10-10 00:00:00,29,12,17,partly-cloudy-night,74.0,0.0006,
2017-10-10 01:00:00,13,7,6,partly-cloudy-night,73.0,0.0004,
2017-10-10 02:00:00,14,9,5,partly-cloudy-night,71.0,0.0,
2017-10-10 03:00:00,16,6,10,clear-night,70.0,0.0,
2017-10-10 04:00:00,8,6,2,clear-night,68.0,0.0,
2017-10-10 05:00:00,24,16,8,clear-night,67.0,0.0,
2017-10-10 06:00:00,131,76,55,clear-night,66.0,0.0,
2017-10-10 07:00:00,296,141,155,clear-night,65.0,0.0,
2017-10-10 08:00:00,490,190,300,clear-day,66.0,0.0,
2017-10-10 09:00:00,683,401,282,clear-day,68.0,0.0,
2017-10-10 10:00:00,1499,896,603,clear-day,71.0,0.0,
2017-10-10 11:00:00,2037,1087,950,clear-day,74.0,0.0,
2017-10-10 12:00:00,2088,1024,1064,clear-day,76.0,0.0,
2017-10-10 13:00:00,2105,1007,1098,clear-day,77.0,0.0,
2017-10-10 14:00:00,2323,1146,1177,clear-day,78.0,0.0,
2017-10-10 15:00:00,1907,1016,891,clear-day,79.0,0.0,
2017-10-10 16:00:00,1960,1000,960,clear-day,79.0,0.0,
2017-10-10 17:00:00,1913,1162,751,clear-day,79.0,0.0,
2017-10-10 18:00:00,1535,933,602,clear-day,78.0,0.0,
2017-10-10 19:00:00,776,248,528,clear-night,74.0,0.0,
2017-10-10 20:00:00,448,189,259,clear-night,72.0,0.0,
2017-10-10 21:00:00,308,141,167,clear-night,70.0,0.0,
2017-10-10 22:00:00,141,65,76,clear-night,68.0,0.0,
2017-10-10 23:00:00,77,30,47,clear-night,67.0,0.0,
2017-10-11 00:00:00,40,17,23,clear-night,66.0,0.0,
2017-10-11 01:00:00,24,11,13,clear-night,65.0,0.0,
2017-10-11 02:00:00,9,3,6,clear-night,64.0,0.0,
2017-10-11 03:00:00,8,6,2,clear-night,63.0,0.0,
2017-10-11 04:00:00,8,8,0,clear-night,63.0,0.0,
2017-10-11 05:00:00,37,24,13,clear-night,63.0,0.0,
2017-10-11 06:00:00,100,60,40,clear-night,63.0,0.0,
2017-10-11 07:00:00,277,142,135,clear-night,64.0,0.0,
2017-10-11 08:00:00,437,149,288,clear-day,64.0,0.0,
2017-10-11 09:00:00,535,244,291,clear-day,65.0,0.0,
2017-10-11 10:00:00,1116,694,422,clear-day,67.0,0.0,
2017-10-11 11:00:00,1602,843,759,clear-day,69.0,0.0,
2017-10-11 12:00:00,1576,758,818,clear-day,71.0,0.0,
2017-10-11 13:00:00,1572,770,802,clear-day,72.0,0.0,
2017-10-11 14:00:00,1808,861,947,clear-day,73.0,0.0,
2017-10-11 15:00:00,1657,855,802,partly-cloudy-day,73.0,0.0,
2017-10-11 16:00:00,1744,944,800,partly-cloudy-day,72.0,0.0,
2017-10-11 17:00:00,1713,820,893,partly-cloudy-day,70.0,0.0,
2017-10-11 18:00:00,615,371,244,partly-cloudy-day,69.0,0.0,
2017-10-11 19:00:00,288,113,175,partly-cloudy-night,67.0,0.0,
2017-10-11 20:00:00,242,122,120,partly-cloudy-night,66.0,0.0,
2017-10-11 21:00:00,143,80,63,partly-cloudy-night,65.0,0.0,
2017-10-11 22:00:00,139,69,70,partly-cloudy-night,65.0,0.0,
2017-10-11 23:00:00,65,34,31,partly-cloudy-night,64.0,0.0,
2017-10-12 00:00:00,27,10,17,partly-cloudy-night,64.0,0.0,
2017-10-12 01:00:00,15,7,8,partly-cloudy-night,63.0,0.0001,
2017-10-12 02:00:00,6,3,3,partly-cloudy-night,61.0,0.0004,
2017-10-12 03:00:00,0,0,0,partly-cloudy-night,60.0,0.0013,
2017-10-12 04:00:00,1,1,0,partly-cloudy-night,60.0,0.0029,
2017-10-12 05:00:00,7,6,1,partly-cloudy-night,58.0,0.004,
2017-10-12 06:00:00,59,33,26,partly-cloudy-night,58.0,0.0023,
2017-10-12 07:00:00,152,85,67,partly-cloudy-night,57.0,0.0009,
2017-10-12 08:00:00,278,106,172,partly-cloudy-day,57.0,0.0002,
2017-10-12 09:00:00,360,153,207,partly-cloudy-day,57.0,0.0,
2017-10-12 10:00:00,687,436,251,partly-cloudy-day,57.0,0.0,
2017-10-12 11:00:00,1239,762,477,partly-cloudy-day,58.0,0.0,
2017-10-12 12:00:00,1663,842,821,partly-cloudy-day,59.0,0.0,
2017-10-12 13:00:00,1883,943,940,partly-cloudy-day,61.0,0.0,
2017-10-12 14:00:00,1776,900,876,partly-cloudy-day,62.0,0.0,
2017-10-12 15:00:00,1530,786,744,partly-cloudy-day,63.0,0.0,
2017-10-12 16:00:00,1780,957,823,partly-cloudy-day,63.0,0.0,
2017-10-12 17:00:00,1825,1089,736,clear-day,63.0,0.0,
2017-10-12 18:00:00,1437,739,698,clear-day,62.0,0.0,
2017-10-12 19:00:00,606,246,360,clear-night,60.0,0.0,
2017-10-12 20:00:00,332,165,167,clear-night,59.0,0.0,
2017-10-12 21:00:00,211,112,99,partly-cloudy-night,58.0,0.0,
2017-10-12 22:00:00,144,85,59,clear-night,57.0,0.0,
2017-10-12 23:00:00,61,33,28,clear-night,56.0,0.0,
2017-10-13 00:00:00,47,29,18,clear-night,55.0,0.0,
2017-10-13 01:00:00,17,10,7,clear-night,54.0,0.0,
2017-10-13 02:00:00,16,9,7,clear-night,54.0,0.0,
2017-10-13 03:00:00,13,7,6,clear-night,53.0,0.0,
2017-10-13 04:00:00,10,6,4,partly-cloudy-night,52.0,0.0,
2017-10-13 05:00:00,17,11,6,partly-cloudy-night,52.0,0.0,
2017-10-13 06:00:00,92,53,39,partly-cloudy-night,52.0,0.0,
2017-10-13 07:00:00,251,117,134,partly-cloudy-night,52.0,0.0,
2017-10-13 08:00:00,391,142,249,partly-cloudy-day,53.0,0.0,
2017-10-13 09:00:00,500,271,229,partly-cloudy-day,55.0,0.0,
2017-10-13 10:00:00,1145,697,448,partly-cloudy-day,57.0,0.0,
2017-10-13 11:00:00,1931,1102,829,partly-cloudy-day,59.0,0.0,
2017-10-13 12:00:00,2159,1114,1045,partly-cloudy-day,61.0,0.0,
2017-10-13 13:00:00,2016,983,1033,partly-cloudy-day,63.0,0.0,
2017-10-13 14:00:00,2340,1085,1255,partly-cloudy-day,64.0,0.0,
2017-10-13 15:00:00,2276,1159,1117,partly-cloudy-day,64.0,0.0,
2017-10-13 16:00:00,2386,1237,1149,partly-cloudy-day,65.0,0.0,
2017-10-13 17:00:00,2344,1256,1088,partly-cloudy-day,64.0,0.0,
2017-10-13 18:00:00,1574,860,714,partly-cloudy-day,63.0,0.0,
2017-10-13 19:00:00,700,311,389,partly-cloudy-night,63.0,0.0,
2017-10-13 20:00:00,370,157,213,partly-cloudy-night,62.0,0.0,
2017-10-13 21:00:00,356,163,193,partly-cloudy-night,62.0,0.0,
2017-10-13 22:00:00,181,92,89,partly-cloudy-night,62.0,0.0,
2017-10-13 23:00:00,144,57,87,partly-cloudy-night,62.0,0.0,
2017-10-14 00:00:00,65,24,41,partly-cloudy-night,62.0,0.0002,
2017-10-14 01:00:00,36,17,19,partly-cloudy-night,62.0,0.0008,
2017-10-14 02:00:00,8,5,3,partly-cloudy-night,61.0,0.0006,
2017-10-14 03:00:00,7,5,2,partly-cloudy-night,61.0,0.0009,
2017-10-14 04:00:00,5,4,1,partly-cloudy-night,61.0,0.0012,
2017-10-14 05:00:00,15,12,3,partly-cloudy-night,61.0,0.0018,
2017-10-14 06:00:00,37,25,12,partly-cloudy-night,61.0,0.0018,
2017-10-14 07:00:00,204,109,95,partly-cloudy-night,61.0,0.0017,
2017-10-14 08:00:00,555,372,183,partly-cloudy-day,62.0,0.0006,
2017-10-14 09:00:00,1503,1300,203,partly-cloudy-day,62.0,0.0003,
2017-10-14 10:00:00,2628,2191,437,cloudy,63.0,0.0002,
2017-10-14 11:00:00,2331,1550,781,partly-cloudy-day,65.0,0.0002,
2017-10-14 12:00:00,2721,1539,1182,partly-cloudy-day,67.0,0.0,
2017-10-14 13:00:00,3059,1706,1353,partly-cloudy-day,68.0,0.0,
2017-10-14 14:00:00,3047,1418,1629,partly-cloudy-day,70.0,0.0,
2017-10-14 15:00:00,3187,1584,1603,cloudy,70.0,0.0,
2017-10-14 16:00:00,2962,1445,1517,cloudy,71.0,0.0,
2017-10-14 17:00:00,2585,1253,1332,partly-cloudy-day,70.0,0.0,
2017-10-14 18:00:00,1860,880,980,partly-cloudy-day,70.0,0.0,
2017-10-14 19:00:00,818,309,509,partly-cloudy-night,68.0,0.0,
2017-10-14 20:00:00,575,248,327,partly-cloudy-night,68.0,0.0,
2017-10-14 21:00:00,393,162,231,cloudy,67.0,0.0,
2017-10-14 22:00:00,283,143,140,partly-cloudy-night,67.0,0.0,
2017-10-14 23:00:00,218,92,126,partly-cloudy-night,66.0,0.0,
2017-10-15 00:00:00,168,82,86,partly-cloudy-night,66.0,0.0,
2017-10-15 01:00:00,62,36,26,partly-cloudy-night,65.0,0.0,
2017-10-15 02:00:00,42,18,24,partly-cloudy-night,65.0,0.0,
2017-10-15 03:00:00,23,11,12,partly-cloudy-night,65.0,0.0,
2017-10-15 04:00:00,9,6,3,partly-cloudy-night,65.0,0.0,
2017-10-15 05:00:00,14,11,3,partly-cloudy-night,65.0,0.0,
2017-10-15 06:00:00,43,26,17,partly-cloudy-night,64.0,0.0,
2017-10-15 07:00:00,226,122,104,partly-cloudy-night,64.0,0.0,
2017-10-15 08:00:00,399,205,194,partly-cloudy-day,65.0,0.0,
2017-10-15 09:00:00,758,512,246,partly-cloudy-day,65.0,0.0,
2017-10-15 10:00:00,1509,904,605,partly-cloudy-day,66.0,0.0,
2017-10-15 11:00:00,1949,1130,819,partly-cloudy-day,68.0,0.0,
2017-10-15 12:00:00,2420,1356,1064,partly-cloudy-day,69.0,0.0,
2017-10-15 13:00:00,2649,1426,1223,partly-cloudy-day,71.0,0.0,
2017-10-15 14:00:00,3049,1427,1622,partly-cloudy-day,72.0,0.0,
2017-10-15 15:00:00,2904,1390,1514,partly-cloudy-day,72.0,0.0,
2017-10-15 16:00:00,2824,1280,1544,partly-cloudy-day,71.0,0.0,
2017-10-15 17:00:00,2298,1033,1265,cloudy,71.0,0.0,
2017-10-15 18:00:00,1330,555,775,cloudy,69.0,0.0,
2017-10-15 19:00:00,636,249,387,cloudy,69.0,0.0,
2017-10-15 20:00:00,474,195,279,cloudy,68.0,0.0,
2017-10-15 21:00:00,335,145,190,cloudy,68.0,0.0,
2017-10-15 22:00:00,196,87,109,partly-cloudy-night,68.0,0.0,
2017-10-15 23:00:00,107,53,54,partly-cloudy-night,68.0,0.0,
2017-10-16 00:00:00,60,25,35,partly-cloudy-night,68.0,0.0,
2017-10-16 01:00:00,11,3,8,partly-cloudy-night,68.0,0.0,
2017-10-16 02:00:00,10,6,4,partly-cloudy-night,68.0,0.0,
2017-10-16 03:00:00,1,1,0,partly-cloudy-night,66.0,0.0,
2017-10-16 04:00:00,3,2,1,partly-cloudy-night,64.0,0.0,
2017-10-16 05:00:00,18,12,6,partly-cloudy-night,61.0,0.0,
2017-10-16 06:00:00,58,34,24,partly-cloudy-night,61.0,0.0,
2017-10-16 07:00:00,221,99,122,partly-cloudy-night,60.0,0.0,
2017-10-16 08:00:00,425,156,269,clear-day,58.0,0.0,
2017-10-16 09:00:00,537,248,289,clear-day,56.0,0.0,
2017-10-16 10:00:00,1002,573,429,clear-day,55.0,0.0,
2017-10-16 11:00:00,1489,808,681,clear-day,56.0,0.0,
2017-10-16 12:00:00,1667,880,787,clear-day,56.0,0.0,
2017-10-16 13:00:00,2001,941,1060,clear-day,56.0,0.0,
2017-10-16 14:00:00,1836,947,889,clear-day,56.0,0.0,
2017-10-16 15:00:00,2096,1046,1050,clear-day,57.0,0.0,
2017-10-16 16:00:00,1723,889,834,clear-day,57.0,0.0,
